,names
ENSG00000111640,GAPDH
ENSG00000066468,FGFR2
ENSG00000237187,NR2F
ENSG00000077279,DCX
ENSG00000078018,MAP2
ENSG00000149294,NCAM1
ENSG00000186868,MAPT
ENSG00000131095,GFAP
ENSG00000102003,SYP
ENSG00000179915,NRXN1
ENSG00000136854,STXBP1
ENSG00000132639,SNAP25
ENSG00000008056,SYN1
ENSG00000120251,GRIA2
ENSG00000153234,NR4A2
ENSG00000164418,GRIK2
ENSG00000091664,SLC17A6
ENSG00000151834,GABRA2
ENSG00000136750,GAD2
