Sample,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,3,4,5,6,7,8,9,GL000191.1,GL000192.1,GL000193.1,GL000194.1,GL000195.1,GL000197.1,GL000198.1,GL000204.1,GL000205.1,GL000211.1,GL000212.1,GL000213.1,GL000214.1,GL000215.1,GL000216.1,GL000217.1,GL000218.1,GL000219.1,GL000220.1,GL000221.1,GL000222.1,GL000223.1,GL000224.1,GL000225.1,GL000227.1,GL000229.1,GL000230.1,GL000231.1,GL000232.1,GL000240.1,GL000241.1,GL000243.1,GL000247.1,GL000249.1,MT,X,Y
R146fs_3,9350902,6607700,2225540,3710678,4705026,1166028,1928132,2075320,2519416,4289280,871266,3963348,4373130,1549958,630708,1598410,3382544,2209988,3321254,4119040,2650972,2152232,2472408,2120,114,4,17092,2,16,2860,26,54,10,204,2,14,24,64,62520,6,396,212,6,6,4,2,24,2,16,706,18,3718846,2071358,101444
M143Vhom_3,7076796,6700970,2236122,3674796,4653332,1223208,1980872,2234134,2515724,4170326,880736,4050874,4356196,1516066,599750,1629924,3476016,2283266,3392158,4125660,2694018,2243624,2495038,2436,60,2,6,28252,8,2,2,14,6198,2,22,76,16,640,16,18,14,170,62112,342,424,308,18,2,2,4,26,190,2,2,2,10,1200,6,12,2915216,2156698,118932
hetdel_6,5932134,5047908,1720158,2833998,3639708,927414,1481124,1696792,1833840,3187958,679666,3109544,3255202,1130816,468836,1260938,2666410,1720710,2579998,3252560,2009066,1727010,1911772,1534,44,18240,2,2,2,28,2570,2,22,44,6,222,22,14,4,86,73704,324,260,162,14,6,4,4,4,50,4,2,2,4,838,2,2,8,3083380,1716688,83440
S21wt_3,8047886,7571152,2573938,4161144,5360662,1386356,2234650,2361956,2701810,4696574,1030650,4146416,5060698,1727560,727292,1738610,3852164,2621864,3900122,4759936,3006782,2463586,2796592,2422,120,2,10,19876,2,4,2,8,4,20,4012,2,26,56,18,378,4,30,16,10,244,112934,356,462,264,18,10,4,22,22,4,14,6,2,998,4,4,28,4370510,2331620,118258
delwt_3,7300190,7199216,2422876,4106882,5618710,1377578,2081320,2408126,2496630,4501358,1027636,4333504,4842800,1584218,704690,1778272,3901680,2571348,3837834,5326990,2733920,2521398,2750824,2364,52,6,2,20798,2,2,16,3054,14,62,20,450,22,16,10,96,214298,176,438,254,6,4,14,2,16,4,2,1006,2,20,4045242,2408592,115164
R146wt_5,7187594,5447134,1822706,3077584,4026870,1013912,1578938,1769642,2023678,3472232,749810,3302158,3598860,1248486,507074,1352132,2907798,1899278,2814804,3662280,2113676,1879800,2087976,1548,36,2,12,16798,6,2,2,2,12,3030,40,46,12,310,16,6,4,92,70736,270,284,180,4,2,18,2,36,4,672,4,2,26,2861718,1744046,90192
C54wt_2,5236386,5602316,1905450,3172494,3953670,958260,1656384,1717872,2032384,3559732,727610,3145576,3731466,1311068,529946,1258742,2793862,1854786,2851718,3422836,2319394,1768802,2062708,1974,54,6,10,15140,4,2,6,3558,12,38,18,494,24,6,68,57436,142,430,136,6,12,2,20,14,2,2,4,4,10,710,2,10,3145918,1708446,69344
C54wt_6,6502790,5089402,1714788,2900820,3669122,911678,1488518,1629494,1898410,3267762,685900,3140280,3321264,1159028,486830,1262552,2699348,1706820,2591512,3258278,2026518,1746552,1938916,1630,40,8,2,17606,2,4,4,2454,26,38,8,364,2,16,12,4,44,88262,86,262,196,2,2,6,8,2,24,2,6,4,4,312,2,16,3413992,1657610,81498
NA_2,8674140,6966632,2379774,3934024,5042002,1171940,2057200,2235964,2681132,4696380,894080,4404370,4489698,1641000,666046,1745616,3553240,2243900,3507490,4297668,2941178,2335094,2628176,2126,68,4,6,20130,6,38,3784,32,56,36,464,26,2,2,110,82670,158,284,172,70,4,14,8,14,2,6,466,4,4,2,4,16,4318942,2273172,102376
N12K_3,6524772,4900462,1610346,2764948,3470488,845082,1442380,1515696,1895156,3210292,627940,3041270,3198352,1167606,470660,1215048,2500826,1613502,2392896,2987590,1928212,1563800,1832380,1068,76,4,4,12430,12,2,8,2526,24,54,8,298,8,14,104,105234,132,90,184,4,4,10,18,4,532,12,2541536,1503498,74190
C54Y_5,8961894,8607046,2821028,4922202,6330188,1462108,2523804,2741490,3401630,5735580,1086332,5661334,5516458,2044722,807052,2227478,4397596,2766146,4220666,5509470,3479390,2835510,3304456,3060,56,2,14,24328,14,2,4,2,12,4426,44,46,24,458,4,34,6,6,98,107980,378,362,250,14,4,8,20,6,44,2,8,2,2,566,2,8,5538104,2827200,132092
S21Thom_2,10975174,8781336,2961120,4922138,6316436,1613198,2600916,2749760,3279804,5626644,1176858,5088316,5894758,2047162,838196,2096652,4591258,3018026,4474704,5526992,3510982,2857558,3322248,2316,92,4,2,23548,6,4,2,4,8,4066,56,54,20,296,26,14,2,74,122086,166,398,304,30,14,40,26,40,2,2,2,1052,18,4731416,2767502,135856
NA_1,6769080,5100960,1744834,2857384,3700010,873794,1498020,1640820,1923020,3381424,675656,3170808,3333938,1196818,496774,1248994,2612200,1669236,2625598,3122000,2123258,1714520,1919648,1398,70,2,13240,12,4,2,16,2658,2,26,48,14,394,14,2,4,102,89884,114,258,128,28,20,6,10,2,2,2,324,14,3064970,1641070,73824
M143wt_1,7314146,6218340,2031142,3557388,4390632,1101566,1826566,2032940,2418828,3925068,792974,3975786,3993534,1434052,547770,1562716,3195386,2049846,3105182,3913124,2452964,2067434,2349390,2176,38,2,6,23026,4,4,4,4306,4,30,28,6,704,22,6,10,160,116224,102,374,276,8,10,4,36,6,140,6,2,10,968,4,14,2933526,2015772,102038
